USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
mateseries       51571   3.9  0.6  4613264 100968   ??  R     1:26下午   0:40.13 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
mateseries        1756   3.4  2.8 10710312 465292   ??  S    121117  192:36.98 /Applications/XMind.app/Contents/MacOS/XMind
_windowserver      138   2.5  1.8  7937184 305344   ??  Us   121117  118:43.66 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
mateseries       13380   1.9  0.6  4796712 105624   ??  S    201117    2:31.88 /Library/Input Methods/SogouInput.app/Contents/MacOS/SogouInput
mateseries         980   1.6  9.7  8687744 1622660   ??  R    121117  112:35.78 /Applications/PyCharm.app/Contents/MacOS/pycharm
mateseries         345   0.0  0.2  4338836  32016   ??  S    121117    1:17.66 /usr/libexec/UserEventAgent (Aqua)
_captiveagent      342   0.0  0.0  4306676   7028   ??  Ss   121117    0:04.74 /usr/libexec/captiveagent
mateseries         341   0.0  0.0  4305216   4260   ??  S    121117    1:21.24 /usr/sbin/cfprefsd agent
root               338   0.0  0.0  4306132   5724   ??  Ss   121117    0:00.27 /usr/libexec/securityd_service
root               337   0.0  0.1  4304788   9928   ??  Ss   121117    0:02.07 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
_atsserver         332   0.0  0.1  4369364  23332   ??  Ss   121117    0:04.27 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
root               331   0.0  0.1  4334944  14324   ??  Ss   121117    0:03.08 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerced
root               327   0.0  0.1  4305704   9644   ??  Ss   121117    0:00.08 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
root               325   0.0  0.1  4306200  12692   ??  Ss   121117    0:01.50 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd daemon
root               323   0.0  0.0  4332336   6952   ??  Ss   121117    0:02.37 /System/Library/CoreServices/sharedfilelistd
root               321   0.0  0.1  4305368  10116   ??  Ss   121117    0:00.02 /usr/libexec/bootinstalld
root               317   0.0  0.0  4304696   4384   ??  Ss   121117    0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
root               316   0.0  0.2  4409612  36316   ??  Ss   121117    0:04.93 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
root               315   0.0  0.0  4305352   6104   ??  Ss   121117    0:00.02 /usr/libexec/colorsyncd
root               308   0.0  0.0  4304508   5552   ??  Ss   121117    0:01.48 /usr/libexec/colorsync.displayservices
root               307   0.0  0.0  4322360   2668   ??  Ss   121117    0:00.07 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
root               302   0.0  1.1  5023264 191576   ??  Ss   121117    5:29.83 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
root               298   0.0  0.1  4279896  10240   ??  Ss   121117    0:03.47 /usr/libexec/thermald
root               297   0.0  0.0  4289036   4284   ??  Ss   121117    0:01.42 /usr/libexec/watchdogd
root               288   0.0  0.0  4306068   7292   ??  Ss   121117    0:00.80 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
root               215   0.0  0.0  4304936   4712   ??  Ss   121117    0:00.13 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
_nsurlstoraged     210   0.0  0.0  4304988   6120   ??  Ss   121117    0:01.84 /usr/libexec/nsurlstoraged --privileged
root               209   0.0  0.1  4364448  11100   ??  Ss   121117    0:11.57 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
_networkd          202   0.0  0.1  4341168  12436   ??  Ss   121117    1:23.42 /usr/libexec/symptomsd
root               199   0.0  0.1  4331640   9316   ??  Ss   121117    0:01.76 /System/Library/Frameworks/PreferencePanes.framework/Versions/A/XPCServices/cacheAssistant.xpc/Contents/MacOS/cacheAssistant
_assetcache        190   0.0  0.1  4336048   8508   ??  Ss   121117    0:03.11 /usr/libexec/AssetCache/AssetCache
_cmiodalassistants   189   0.0  0.1  4305984   8888   ??  Ss   121117    0:19.75 /Library/CoreMediaIO/Plug-Ins/DAL/AppleCamera.plugin/Contents/Resources/AppleCameraAssistant
root               184   0.0  0.1  4332292   9836   ??  S    121117    0:03.05 /usr/sbin/systemstats --logger-helper /var/db/systemstats
_assetcache        179   0.0  0.1  4374416  10068   ??  Ss   121117    0:12.49 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -d
root               178   0.0  0.0  4304664   4836   ??  Ss   121117    0:26.50 /usr/libexec/sysmond
root               176   0.0  0.0  4331776   8288   ??  Ss   121117    0:01.61 /usr/libexec/usbd
root               174   0.0  0.0  4304408   5104   ??  Ss   121117    0:06.13 /usr/libexec/apfsd
root               173   0.0  0.0  4306196   5944   ??  Ss   121117    0:09.65 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
root               172   0.0  0.3  4424192  50504   ??  Ss   121117    0:06.10 /usr/libexec/diskmanagementd
root               171   0.0  0.1  4333280   9916   ??  Ss   121117    0:14.25 /System/Library/PrivateFrameworks/PerformanceAnalysis.framework/Versions/A/XPCServices/com.apple.PerformanceAnalysis.animationperfd.xpc/Contents/MacOS/com.apple.PerformanceAnalysis.animationperfd
_analyticsd        170   0.0  0.1  4335236  14768   ??  Ss   121117    0:26.26 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
root               169   0.0  0.0  4331816   7948   ??  Ss   121117    0:11.06 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
root               168   0.0  0.1  4373080  20780   ??  Ss   121117    0:11.48 /usr/libexec/findmydeviced
root               166   0.0  0.0  4331268   8248   ??  Ss   121117    0:03.01 /System/Library/PrivateFrameworks/SystemAdministration.framework/XPCServices/writeconfig.xpc/Contents/MacOS/writeconfig
root               165   0.0  0.0  4296468   4160   ??  Ss   121117    0:00.01 /usr/libexec/smd
root               164   0.0  0.0  4331620   7164   ??  Ss   121117    0:19.02 /usr/sbin/mDNSResponderHelper
_coreaudiod        163   0.0  0.0  4296512   8244   ??  Ss   121117    0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root               162   0.0  0.0  4306140   7704   ??  Ss   121117    0:01.55 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
_mdnsresponder     161   0.0  0.1  4334448  10576   ??  Ss   121117    1:34.77 /usr/sbin/mDNSResponder
root               160   0.0  0.1  4341972  21968   ??  Ss   121117    4:09.86 /usr/libexec/airportd
_nsurlsessiond     158   0.0  0.5  4622236  86192   ??  Ss   121117    0:49.56 /usr/libexec/nsurlsessiond --privileged
root               157   0.0  0.1  4335088   9292   ??  Ss   121117    0:02.83 /usr/libexec/nehelper
root               156   0.0  0.0  4332940   5492   ??  Ss   121117    0:10.31 /usr/sbin/cupsd -l
root               144   0.0  0.2  4357308  35172   ??  Ss   121117    0:11.92 /usr/libexec/mobileassetd
_coreaudiod        143   0.0  0.0  4331076   6892   ??  Ss   121117    0:03.45 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
root               139   0.0  0.2  4364336  30060   ??  Ss   121117    1:33.90 /usr/libexec/trustd
_coreaudiod        137   0.0  0.1  4341904  17620   ??  Ss   121117    0:58.95 /usr/sbin/coreaudiod
root               135   0.0  0.4  4396040  69408   ??  Ss   121117    2:22.53 /usr/libexec/sandboxd
root               134   0.0  0.0  4304984   5872   ??  Ss   121117    0:00.72 aslmanager
root               128   0.0  0.1  4342776  16452   ??  Ss   121117    0:09.38 /usr/libexec/lsd runAsRoot
_ctkd              116   0.0  0.1  4306196   9412   ??  Ss   121117    0:00.02 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
root               113   0.0  0.0  4296800   8092   ??  Ss   121117    0:00.01 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
root               108   0.0  0.1  4382948  12056   ??  Ss   121117    1:15.56 /System/Library/CoreServices/coreservicesd
root               107   0.0  0.1  4334428  12320   ??  Ss   121117    0:14.37 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
root               105   0.0  0.0  4304920   4004   ??  Ss   121117    2:13.78 /usr/sbin/cfprefsd daemon
_distnote          104   0.0  0.0  4305588   4524   ??  Ss   121117    2:00.34 /usr/sbin/distnoted daemon
root               103   0.0  0.0  4304712   2384   ??  Ss   121117    3:59.88 /usr/sbin/notifyd
root               102   0.0  0.1  4333192  10196   ??  Ss   121117    0:37.61 /usr/libexec/taskgated -s
root               101   0.0  0.1  4332316  12372   ??  Ss   121117    0:07.67 /usr/libexec/AirPlayXPCHelper
root               100   0.0  0.1  4337892  18980   ??  Ss   121117    0:03.63 /usr/libexec/corebrightnessd --launchd
root                98   0.0  0.1  4335620  11784   ??  Ss   121117    2:03.76 /usr/sbin/bluetoothd
root                96   0.0  0.0  4296720   4956   ??  Ss   121117    0:00.09 /usr/sbin/KernelEventAgent
root                95   0.0  0.0  4333304   6176   ??  Ss   121117    0:03.48 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
root                94   0.0  0.0  4304496   5800   ??  Ss   121117    0:01.62 /System/Library/CoreServices/logind
mateseries          93   0.0  0.5  4613504  86640   ??  Ss   121117    1:30.61 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
root                89   0.0  0.1  4336664  12024   ??  Ss   121117    1:44.51 /usr/libexec/dasd
_displaypolicyd     88   0.0  0.1  4308076   9320   ??  Ss   121117    0:04.07 /usr/libexec/displaypolicyd -k 1
root                87   0.0  0.0  4304884   4904   ??  Ss   121117    0:00.05 autofsd
_locationd          85   0.0  0.1  4337928  11860   ??  Ss   121117    0:40.85 /usr/libexec/locationd
_usbmuxd            83   0.0  0.0  4333152   6668   ??  Ss   121117    0:02.06 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
root                82   0.0  0.1  4334056  11432   ??  Ss   121117    0:21.78 /usr/sbin/securityd -i
_timed              80   0.0  0.0  4330852   7048   ??  Ss   121117    0:05.37 /usr/libexec/timed
root                78   0.0  0.0  4331912   5796   ??  Ss   121117    0:01.63 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
root                77   0.0  0.2  4343136  29764   ??  Ss   121117    1:37.25 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
root                72   0.0  0.2  4347456  40648   ??  Ss   121117    3:08.17 /usr/libexec/coreduetd
root                71   0.0  0.1  4331316  25036   ??  Ss   121117    0:06.78 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
root                69   0.0  0.1  4534136  23004   ??  Ss   121117    0:22.80 /System/Library/CoreServices/Installer Progress.app/Contents/MacOS/Installer Progress --showProgress
root                67   0.0  0.1  4358532  21480   ??  Ss   121117    0:03.15 /System/Library/CoreServices/iconservicesagent
_iconservices       66   0.0  0.0  4335372   7868   ??  Ss   121117    0:02.38 /System/Library/CoreServices/iconservicesd
root                65   0.0  0.4  4471676  68096   ??  Ss   121117    9:55.48 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
root                64   0.0  0.1  4321008  19992   ??  SNs  121117    0:07.13 /usr/libexec/warmd
root                59   0.0  0.0  4305060   4400   ??  Ss   121117    0:00.01 /usr/libexec/keybagd -t 15
root                58   0.0  0.3  4419132  50152   ??  Ss   121117    2:19.42 /usr/libexec/logd
root                53   0.0  0.1  4330892   9736   ??  Ss   121117    2:56.99 /System/Library/CoreServices/powerd.bundle/powerd
root                52   0.0  0.1  4335960  11224   ??  Ss   121117    3:00.27 /usr/libexec/configd
root                50   0.0  0.1  4335792  13548   ??  Ss   121117    1:06.48 /usr/sbin/systemstats --daemon
_appleevents        49   0.0  0.0  4332904   7460   ??  Ss   121117    0:04.05 /System/Library/CoreServices/appleeventsd --server
root                47   0.0  0.1  4331284  19012   ??  Ss   121117    0:06.60 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
root                45   0.0  0.1  4486840  19408   ??  Ss   121117    4:01.70 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
root                44   0.0  0.2  4352512  27392   ??  Ss   121117    0:40.51 /usr/libexec/kextd
root                43   0.0  0.0  4296008   8268   ??  Ss   121117    0:12.70 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
root                40   0.0  0.1  4336960  17996   ??  Ss   121117    0:52.67 /usr/libexec/UserEventAgent (System)
root                39   0.0  0.0  4306580   2956   ??  Ss   121117    2:06.08 /usr/sbin/syslogd
mateseries       39826   0.0  0.0        0      0   ??  Z    日11下午   0:00.00 (Google Chrome)
mateseries       39794   0.0  0.0        0      0   ??  Z    日11下午   0:00.00 (Google Chrome)
mateseries       39761   0.0  0.0        0      0   ??  Z    日11下午   0:00.00 (Google Chrome)
mateseries       37427   0.0  0.0        0      0   ??  Z    日05下午   0:00.00 (Google Chrome)
mateseries       37389   0.0  0.0        0      0   ??  Z    日05下午   0:00.00 (Google Chrome)
mateseries       37356   0.0  0.0        0      0   ??  Z    日05下午   0:00.00 (Google Chrome)
mateseries       37317   0.0  0.0        0      0   ??  Z    日05下午   0:00.00 (Google Chrome)
mateseries       37193   0.0  0.0        0      0   ??  Z    日04下午   0:00.00 (Google Chrome)
mateseries       37080   0.0  0.0        0      0   ??  Z    日04下午   0:00.00 (Google Chrome)
mateseries       36961   0.0  0.0        0      0   ??  Z    日04下午   0:00.00 (Google Chrome)
mateseries       36728   0.0  0.0        0      0   ??  Z    日04下午   0:00.00 (Google Chrome)
mateseries       36768   0.0  0.0        0      0   ??  Z    日04下午   0:00.00 (Google Chrome)
mateseries       36660   0.0  0.0        0      0   ??  Z    日04下午   0:00.00 (Google Chrome)
mateseries       36630   0.0  0.0        0      0   ??  Z    日04下午   0:00.00 (Google Chrome)
root             54023   0.0  0.0  4268212   1252 s000  R+    3:51下午   0:00.00 ps aux
mateseries       36591   0.0  0.0        0      0   ??  Z    日04下午   0:00.00 (Google Chrome)
mateseries       53989   0.0  0.1  4852288  18528   ??  S     3:50下午   0:00.21 /System/Library/Frameworks/QuickLook.framework/Resources/quicklookd.app/Contents/MacOS/quicklookd
root             53980   0.0  0.1  4341584  23716   ??  Ss    3:49下午   0:00.80 /System/Library/CoreServices/ReportCrash daemon
mateseries       53946   0.0  0.1  4296388  11028   ??  Ss    3:45下午   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
mateseries       53945   0.0  1.0  5792476 166572   ??  Ss    3:45下午   0:12.25 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
root             52924   0.0  0.0  4331268   7636   ??  Ss    2:29下午   0:00.08 /usr/sbin/ocspd
mateseries       51843   0.0  0.1  4301864  11180 s000  S     1:34下午   0:01.40 zsh
mateseries       51683   0.0  0.1  4335820  18360   ??  Ss    1:30下午   0:00.08 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
mateseries       51573   0.0  0.0  4297048   4436 s000  S     1:26下午   0:01.49 -zsh
root             51572   0.0  0.0  4304808   6892 s000  Ss    1:26下午   0:00.05 login -pf mateseries
mateseries       51272   0.0  0.7  5774632 119352   ??  Ss    1:09下午   0:46.51 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
mateseries       51267   0.0  0.4  4370868  65944   ??  S     1:09下午   0:02.29 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
